train/loss_critic,errors,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_Q_std,total/epochs,train/loss_actor,rollout/return,reference_actor_Q_mean,success rate,rollout/goal_tolerance,total/steps_per_second,rollout/Q_mean,rollout/actions_mean,total/duration,reference_action_std,rollout/episodes,total/episodes,total/steps,reference_Q_mean,rollout/error,reference_actor_Q_std,reference_action_mean,train/param_noise_distance
0.091497876,0.011606604849978362,0.76580155,10.606713109563014,-6.95,3.3603911,1,0.84691447,-9.619537682077263,-1.4427472,1.0,0.0175,24.733464592378187,-2.8532107,-0.0030022329,2708.7996406555176,0.86084145,6316,6316,66998,-2.0548177,0.13646,3.3189058,0.09996327,0.0
0.10660404,0.011971517166247538,0.7662057,10.559006211180124,-6.88,3.3378408,1,0.84010863,-9.571583850931678,-1.4071645,1.0,0.01746,24.711092064655794,-2.8574328,-0.0030189657,2751.719746828079,0.86866236,6440,6440,67998,-2.019496,0.01175,3.3084693,0.096621215,0.0
0.09572936,0.012623955967367071,0.7665526,10.481239556433238,-5.98,3.348322,1,0.87424606,-9.493543976910223,-1.4101948,1.0,0.01743,24.69118226845599,-2.8553672,-0.0023592315,2794.438891172409,0.86923414,6583,6583,68998,-2.0330048,0.03041,3.3084443,0.08375541,0.0
0.101828575,0.01184677309576323,0.76691854,10.436857015058894,-6.3,3.3205621,1,0.85068727,-9.448933949604891,-1.3449404,1.0,0.01739,24.673134085999934,-2.8600278,-0.002116795,2837.012912750244,0.8675844,6707,6707,69998,-1.9618512,0.01362,3.285152,0.10929278,0.0
0.09582216,0.012074126860892256,0.76729655,10.391686182669789,-7.21,3.3453777,1,0.79079866,-9.403542154566745,-1.3613628,1.0,0.01736,24.65472417538576,-2.8635466,-0.0018568404,2879.691514492035,0.86500233,6832,6832,70998,-1.9992145,0.10739,3.2978935,0.036219466,0.0
0.090874255,0.011356427629034221,0.76769775,10.319954128440367,-5.93,3.33906,1,0.8516728,-9.331565366972477,-1.3830581,1.0,0.01732,24.63061256946736,-2.8607383,-0.0012316605,2923.1104097366333,0.8582368,6976,6976,71998,-1.9948152,0.07765,3.294645,0.1541809,0.0
0.10918875,0.01168195669015795,0.7680082,10.287989850577953,-7.17,3.374936,1,0.7761323,-9.299407950380603,-1.3741193,1.0,0.01729,24.611477099247004,-2.864415,-0.00096082775,2966.0145835876465,0.8642149,7094,7094,72998,-1.9903691,0.02421,3.3263264,0.07949922,0.0
0.0877572,0.011844229768306281,0.76821744,10.244496746504222,-6.82,3.3452156,1,0.82836133,-9.255710923439015,-1.3893199,1.0,0.01725,24.572033331169717,-2.8641264,-0.0007965358,3011.472392320633,0.8683761,7223,7223,73998,-1.9965887,0.02274,3.2987368,0.067361556,0.0
0.086668655,0.011974656687213871,0.76843697,10.19437270626614,-6.25,3.3517385,1,0.7919649,-9.20538262878891,-1.3383833,1.0,0.01722,24.54808784135128,-2.862944,-0.00032855972,3055.146310567856,0.8633834,7357,7357,74998,-1.9578029,0.00775,3.315838,0.07597357,0.0
0.10448761,0.012230533770101599,0.76865023,10.195465521867455,-9.25,3.3107703,1,0.76730514,-9.206466326804401,-1.3594766,0.99,0.01718,24.528904810970886,-2.8734245,-0.000108234955,3098.3038413524628,0.86839515,7454,7454,75998,-1.9527276,0.0355,3.2669525,0.0879947,0.0
0.09843318,0.011661920857806297,0.7689632,10.15295358649789,-6.91,3.3625212,1,0.75929415,-9.16376582278481,-1.3642786,1.0,0.01715,24.50203036697124,-2.8765674,-0.00023307631,3142.5150833129883,0.8729168,7584,7584,76998,-1.9881245,0.01112,3.3005097,0.047351897,0.0
