train/loss_actor,total/steps,success rate,total/steps_per_second,train/loss_critic,rollout/actions_std,errors,rollout/error,reference_action_mean,rollout/return,total/duration,rollout/actions_mean,reference_Q_mean,total/epochs,rollout/return_history,rollout/Q_mean,total/episodes,rollout/goal_tolerance,rollout/episodes,reference_Q_std,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,reference_action_std,reference_actor_Q_std
1.5148892,1900998,1.0,21.575533318986007,0.066316836,0.7119646,0.0006447232338673585,0.03674,0.08994088,-7.797806418770391,88108.96916866302,0.0022119167,-2.818688,1,-10.91,-3.3121774,216085,0.001,216085,2.9748707,0.0,8.797445449707292,-2.042819,0.8388275,2.9688494
1.5126628,1901998,1.0,21.575086835831836,0.058227807,0.7119378,0.00062846842714972,0.00068,0.077603474,-7.799195059329679,88157.14228510857,0.002224811,-2.8120477,1,-11.18,-3.3125322,216165,0.001,216165,3.0036068,0.0,8.798834223856776,-2.0571465,0.8352704,2.9794476
1.5410668,1902998,1.0,21.57469021181711,0.06972728,0.7119175,0.0006422292941046793,0.00348,0.046280622,-7.8000157220344315,88205.11355280876,0.0022390427,-2.8568168,1,-9.96,-3.3125777,216257,0.001,216257,3.0086596,0.0,8.799655040068068,-2.0773847,0.84933627,3.0002067
1.557837,1903998,1.0,21.574340685585216,0.061853584,0.71190065,0.0006496945307677331,0.00111,0.058646437,-7.801126908996783,88252.89392375946,0.0022278987,-2.8062906,1,-10.97,-3.3128126,216344,0.001,216344,2.9640229,0.0,8.800766372074104,-2.0373702,0.8368449,2.9566128
1.5386091,1904998,1.0,21.574236895715693,0.06563828,0.7118797,0.0006220699088765502,0.01166,0.06781217,-7.802873196743279,88299.67007446289,0.0022479293,-2.8297298,1,-12.53,-3.3132105,216414,0.001,216414,2.9993985,0.0,8.802512776437753,-2.0192142,0.84558797,3.0175302
1.5273676,1905998,1.0,21.574030174437183,0.067916326,0.71185684,0.0006314589835351223,0.08537,0.067910574,-7.803996286391287,88346.86818313599,0.0022468464,-2.8093796,1,-10.97,-3.3133008,216501,0.001,216501,2.9995964,0.0,8.803636010919119,-2.061838,0.844935,2.9731236
1.5464423,1906998,1.0,21.573803558198513,0.0691069,0.7118264,0.0006658883172656571,0.00125,0.06359998,-7.804410053740605,88394.14871168137,0.0022559136,-2.8370256,1,-8.61,-3.3132343,216596,0.001,216596,2.9646962,0.0,8.804049936286912,-2.0705469,0.8431628,2.9563222
1.5299933,1907998,1.0,21.57330135208335,0.07369669,0.71180344,0.0006122110359082702,0.09935,0.04484548,-7.805723489288648,88442.56003570557,0.0022630605,-2.8272064,1,-10.37,-3.3133943,216686,0.001,216686,2.992292,0.0,8.805363521408859,-2.0349627,0.8424063,2.9978
1.5276331,1908998,1.0,21.572885910329436,0.060300913,0.71178764,0.0006987011022304865,0.13278,0.07234726,-7.80691516353739,88490.61771035194,0.0022511669,-2.7671127,1,-11.24,-3.3135078,216770,0.001,216770,2.9900174,0.0,8.806555335147852,-1.9921045,0.83982897,2.9984589
1.5661885,1909998,1.0,21.57234457711456,0.068022296,0.7117695,0.0006738445769215312,0.03999,0.06704382,-7.807806173739014,88539.19392824173,0.0022422024,-2.825563,1,-10.21,-3.313799,216854,0.001,216854,2.9946918,0.0,8.807446484731663,-2.0601768,0.84492767,2.9599755
