rollout/error,errors,rollout/return,reference_action_mean,rollout/episodes,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,rollout/actions_mean,rollout/Q_mean,total/steps,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,reference_Q_std,success rate,rollout/goal_tolerance,rollout/actions_std,total/duration,total/episodes,reference_actor_Q_std,rollout/episode_steps,total/epochs
0.07348,0.011700596615416302,-11.936087030426654,-0.123250864,5883,-8.0,0.09519997,0.83792347,-0.7256136,-0.008590868,-3.0886278,75998,0.97332025,-1.1547252,26.222294929943757,0.0,4.3535237,1.0,0.01718,0.75949866,2898.2207775115967,5883,4.2255654,12.917729049804521,1
0.04127,0.012207154920426866,-11.834665334665335,-0.15290546,6006,-7.17,0.09910428,0.8358024,-0.6910667,-0.008252588,-3.0862129,76998,0.9424719,-1.1213515,26.202948865033513,0.0,4.3995004,1.0,0.01715,0.76005214,2938.524224758148,6006,4.271093,12.816683316683317,1
0.04008,0.01149306948806795,-11.770928711576193,-0.20166178,6116,-8.13,0.08851627,0.82617253,-0.6921257,-0.0081783915,-3.0878,77998,0.9135645,-1.114512,26.187924018218617,0.0,4.3708987,1.0,0.01712,0.7606125,2978.39568901062,6116,4.2377596,12.753270111183781,1
0.1536,0.011314648516195094,-11.702103741769713,-0.11224153,6227,-7.76,0.100346565,0.8344877,-0.7049238,-0.0076885805,-3.0871792,78998,0.94781256,-1.1324326,26.173244626565328,0.0,4.362598,1.0,0.01708,0.76106673,3018.273092508316,6227,4.231343,12.684759916492693,1
0.07027,0.011475844561859698,-11.639892693703645,-0.17930381,6337,-7.75,0.09284713,0.82854825,-0.7760094,-0.006571223,-3.0853794,79998,0.89145327,-1.191237,26.154884084825508,0.0,4.411712,1.0,0.01705,0.7615133,3058.6256754398346,6337,4.262592,12.622849928988481,1
0.19757,0.011762814453124706,-11.603418803418803,-0.20884989,6435,-9.22,0.11140111,0.822359,-0.7172667,-0.0063967104,-3.0899663,80998,0.9223252,-1.1482283,26.13588325443029,0.0,4.429198,1.0,0.01701,0.7619328,3099.1108741760254,6435,4.283436,12.586635586635587,1
0.09445,0.011567958499466542,-11.56635542629726,-0.11335355,6533,-9.13,0.09439016,0.8341964,-0.7182801,-0.0067253006,-3.093518,81998,0.8621166,-1.1443317,26.12645825564258,0.0,4.346754,1.0,0.01698,0.762273,3138.5042395591736,6533,4.2154875,12.549823970610746,1
0.02057,0.011650716002963427,-11.536883391160055,-0.14941698,6629,-9.52,0.1050306,0.8319232,-0.69252133,-0.0067277458,-3.1001105,82998,0.8690964,-1.111332,26.107282241755552,0.0,4.36865,0.99,0.01695,0.76236945,3179.1129858493805,6629,4.2169666,12.520440488761503,1
0.02743,0.011361816438027885,-11.48871398871399,-0.15030886,6734,-8.5,0.09192187,0.83161885,-0.7178128,-0.0067524435,-3.1013486,83998,0.846404,-1.1309854,26.081250082297135,0.0,4.338706,1.0,0.01691,0.7628884,3220.6278355121613,6734,4.1965632,12.472527472527473,1
0.05405,0.012038148929208766,-11.456674473067915,-0.1088699,6832,-9.15,0.084741935,0.83188134,-0.68061495,-0.006143007,-3.1062365,84998,0.8242432,-1.1172496,26.067022980004893,0.0,4.3781123,1.0,0.01688,0.76334256,3260.74826669693,6832,4.238208,12.440720140515223,1
