rollout/goal_tolerance,rollout/return_history,rollout/error,total/steps,reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return,rollout/actions_std,reference_Q_mean,reference_action_std,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,total/duration,train/loss_actor,success rate,train/loss_critic,errors,train/param_noise_distance,rollout/episodes,reference_action_mean,reference_actor_Q_mean
0.01788,-6.51,0.02005,55998,3.0245063,12.090693154826171,1,-11.110343338371841,0.75351244,-0.8262591,0.8452755,4631,3.175745,-0.043472707,26.7667193218741,-3.3039052,2092.075585603714,1.2508231,1.0,0.07610531,0.012210228827071075,0.0,4631,-0.12045769,-0.40327358
0.01785,-8.61,0.04085,56998,3.0407786,12.035050675675675,1,-11.054265202702704,0.7541387,-0.8078625,0.846249,4736,3.1787763,-0.042663284,26.724967610958014,-3.3081193,2132.7621731758118,1.2547963,1.0,0.083795965,0.01103494183845093,0.0,4736,-0.09657567,-0.38857412
0.01781,-8.23,0.0104,57998,3.0381496,11.968633924886504,1,-10.987412298803136,0.75473726,-0.8289863,0.8286273,4846,3.1744716,-0.042403102,26.67762562689469,-3.3087237,2174.0315577983856,1.250876,1.0,0.06974594,0.011543962068385432,0.0,4846,-0.15537614,-0.41825598
0.01778,-7.98,0.22058,58998,3.0412583,11.892561983471074,1,-10.910905059463818,0.75537395,-0.77115446,0.8390392,4961,3.175034,-0.041371636,26.650566597880676,-3.3061032,2213.7615642547607,1.248662,1.0,0.07886683,0.011632536835514917,0.0,4961,-0.08779917,-0.33846146
0.01774,-7.54,0.08708,59998,3.054113,11.822625147812376,1,-10.840559716200236,0.75586337,-0.7694113,0.8364226,5074,3.1631494,-0.042306226,26.6113346204048,-3.3000205,2254.603192806244,1.2269874,1.0,0.065791704,0.011614167704360898,0.0,5074,-0.12948509,-0.35803476
0.01771,-6.59,0.19484,60998,3.048899,11.725821957315901,1,-10.743318592578351,0.75645244,-0.75598717,0.84430957,5201,3.1721983,-0.042140853,26.57858042974365,-3.2933173,2295.005941390991,1.2115976,1.0,0.070079766,0.011941340891048112,0.0,5201,-0.13334744,-0.32700768
0.01767,-7.58,0.06016,61998,3.0331285,11.657954118089508,1,-10.67506581421587,0.7569145,-0.7531849,0.8423484,5318,3.168466,-0.042586178,26.54535162812567,-3.2900672,2335.550150871277,1.2149136,1.0,0.054880053,0.012065985090411836,0.0,5318,-0.14584844,-0.34230912
0.01764,-6.74,0.13226,62998,3.044274,11.561020370710223,1,-10.577720682694073,0.75735945,-0.77350396,0.856491,5449,3.166084,-0.04193816,26.50858215210252,-3.2818513,2376.5133736133575,1.166727,1.0,0.06862596,0.011776049807541742,0.0,5449,-0.10515094,-0.37670967
0.0176,-7.55,0.22877,63998,3.0408967,11.504404098508,1,-10.520762178680569,0.7577186,-0.72049904,0.8439853,5563,3.147178,-0.0417415,26.466419224940616,-3.279643,2418.083060503006,1.2018499,1.0,0.071388215,0.011851589204853106,0.0,5563,-0.17849775,-0.30147827
0.01757,-8.32,0.0502,64998,3.0480866,11.465949188426253,1,-10.482004234297813,0.75808203,-0.7045195,0.8570435,5668,3.162788,-0.041643556,26.421807302692827,-3.2791953,2460.013399362564,1.1810226,1.0,0.06601202,0.011461436301967023,0.0,5668,-0.13146505,-0.269887
0.01753,-8.14,0.00883,65998,3.0312557,11.424614851999308,1,-10.440366972477063,0.7586463,-0.7058021,0.865525,5777,3.1460137,-0.040375978,26.39208656329129,-3.2838511,2500.6738228797913,1.152321,1.0,0.06713611,0.011748429115147695,0.0,5777,-0.08795265,-0.2921433
0.0175,-7.09,0.05049,66998,3.0334215,11.353668869683105,1,-10.369089984748348,0.75890964,-0.6763694,0.86805844,5901,3.1617422,-0.039816868,26.36555493051237,-3.276072,2541.1185228824615,1.1303669,1.0,0.071727306,0.011830324808699609,0.0,5901,-0.0880369,-0.2520932
0.01746,-7.42,0.12245,67998,3.057729,11.298936523762046,1,-10.314057826520438,0.7592766,-0.7086712,0.864624,6018,3.1781926,-0.03962136,26.333192921693048,-3.2731633,2582.2163002490997,1.1794559,1.0,0.05898337,0.011958387373019724,0.0,6018,-0.104246765,-0.3137309
0.01743,-7.29,0.07378,68998,3.033828,11.247676504157834,1,-10.262514267079732,0.75966746,-0.65901613,0.8632169,6133,3.1589491,-0.039989922,26.30371659172462,-3.2698345,2623.127410888672,1.1511493,1.0,0.05929364,0.010983692928198478,0.0,6133,-0.12645702,-0.24283242
0.01739,-8.38,0.04196,69998,3.0340824,11.220102596986214,1,-10.23469060596345,0.7600341,-0.6984209,0.8559067,6238,3.1638358,-0.039208274,26.286263018959534,-3.269564,2662.911801099777,1.1415737,1.0,0.0654844,0.011339937917404508,0.0,6238,-0.13871697,-0.3015058
0.01736,-7.35,0.14119,70998,3.020205,11.162264150943397,1,-10.176572327044026,0.76028717,-0.6688231,0.8603611,6360,3.1421387,-0.039675184,26.265384663385085,-3.265457,2703.101474046707,1.1400828,1.0,0.054529432,0.011289901962879035,0.0,6360,-0.102149494,-0.265912
0.01732,-9.8,0.02903,71998,3.0312748,11.161705426356589,1,-10.175813953488372,0.7605139,-0.66566014,0.85797375,6450,3.1655676,-0.039310012,26.23892983061582,-3.2763236,2743.9381279945374,1.1288807,1.0,0.05935113,0.011405203784069992,0.0,6450,-0.15005189,-0.2624637
0.01729,-7.34,0.0208,72998,3.0199094,11.110654490106544,1,-10.124505327245053,0.7607642,-0.67991495,0.8605862,6570,3.1338158,-0.03896037,26.208541974572285,-3.2738857,2785.2751240730286,1.1119952,1.0,0.063904636,0.011660608737557148,0.0,6570,-0.07027649,-0.27048022
0.01725,-7.43,0.12468,73998,3.0219297,11.069259536275244,1,-10.08287210172027,0.7610821,-0.66606796,0.857579,6685,3.142946,-0.038660474,26.180974942681324,-3.2713907,2826.4035301208496,1.1363627,1.0,0.07829477,0.011670830964269872,0.0,6685,-0.0638475,-0.27148718
0.01722,-8.51,0.12119,74998,3.0202122,11.048025928108427,1,-10.06143193871538,0.7612766,-0.6838311,0.8651838,6788,3.150916,-0.03793584,26.160459537429,-3.2745054,2866.8456642627716,1.1291293,1.0,0.07451299,0.011408694988465567,0.0,6788,-0.08407121,-0.2871127
0.01718,-7.68,0.04452,75998,3.0399463,11.013913043478261,1,-10.027101449275362,0.7616484,-0.64699304,0.84763885,6900,3.1555395,-0.037458237,26.14204330074229,-3.2786674,2907.1178226470947,1.1000518,1.0,0.075289,0.011347469357180071,0.0,6900,-0.085240096,-0.22416496
0.01715,-7.51,0.12983,76998,3.0076532,10.977473624180211,1,-9.99044767607642,0.76179713,-0.6674664,0.8558468,7014,3.1270046,-0.03771949,26.131780879786614,-3.2755306,2946.5270795822144,1.0940417,1.0,0.06191564,0.011371444100557826,0.0,7014,-0.061024327,-0.2460545
0.01712,-7.84,0.0616,77998,3.0356572,10.946792081987926,1,-9.959567597922224,0.76191694,-0.642352,0.85519224,7123,3.1355267,-0.037534513,26.111190312980508,-3.277688,2987.148386001587,1.1225384,1.0,0.0648901,0.01169872199477937,0.0,7123,-0.07138219,-0.2285216
0.01708,-7.95,0.01386,78998,3.0385964,10.91763405196241,1,-9.930210060807076,0.7620025,-0.6195868,0.85092777,7236,3.144744,-0.037555955,26.082799561762346,-3.2764308,3028.7392966747284,1.105052,1.0,0.06680098,0.011596961511770674,0.0,7236,-0.09011763,-0.19177395
0.01705,-7.9,0.09177,79998,3.033662,10.888525928950592,1,-9.90091193684497,0.76213413,-0.6537452,0.8603229,7347,3.1398067,-0.036288444,26.06043202643168,-3.2738702,3069.711197376251,1.0816461,1.0,0.06025619,0.010803012553606018,0.0,7347,-0.05714262,-0.24424891
0.01701,-7.57,0.03582,80998,3.0279713,10.843197643277986,1,-9.855382967327262,0.76228666,-0.6213103,0.8582353,7468,3.1392565,-0.03678951,26.04507041551452,-3.274703,3109.9167215824127,1.0918558,1.0,0.07822963,0.011947337659175767,0.0,7468,-0.07159343,-0.20209566
0.01698,-7.05,0.05081,81998,3.053676,10.8089650626236,1,-9.820962425840474,0.7625033,-0.61289215,0.8634795,7585,3.1391296,-0.03675661,26.02739459778561,-3.275708,3150.44979596138,1.089327,1.0,0.055099074,0.010941452337245045,0.0,7585,-0.052134052,-0.18803903
0.01695,-8.15,0.05032,82998,3.0437782,10.78609486679662,1,-9.79792072774529,0.76263326,-0.63264656,0.85094345,7695,3.1564972,-0.036272105,26.012069947962043,-3.2785754,3190.749531507492,1.0330361,1.0,0.049494635,0.01148842463580109,0.0,7695,-0.03689535,-0.19908205
0.01691,-8.25,0.0273,83998,3.0259771,10.76181934657271,1,-9.773478539397821,0.76273024,-0.63167477,0.85430175,7805,3.1392188,-0.03605085,25.99337541235803,-3.2785738,3231.515671491623,1.1087508,1.0,0.061903138,0.011757134570218798,0.0,7805,-0.041110765,-0.21626458
0.01688,-7.64,0.02838,84998,3.057663,10.730589572023735,1,-9.742078020451963,0.7627039,-0.5910876,0.85925794,7921,3.1644778,-0.036557347,25.9747489532931,-3.2736993,3272.331915616989,1.0516744,1.0,0.055906624,0.010072321336010876,0.0,7921,-0.04371493,-0.14388679
