success rate,train/loss_actor,rollout/actions_std,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/return_history,errors,reference_action_std,rollout/actions_mean,reference_Q_mean,total/steps,reference_actor_Q_mean,rollout/return,rollout/episodes,reference_action_mean,rollout/Q_mean,reference_actor_Q_std,rollout/error,reference_Q_std,rollout/goal_tolerance,rollout/episode_steps,total/duration,train/loss_critic,total/epochs
0.9,5.5361476,0.6875966,0.0,77008,30.250496491237737,-41.02,0.003891866268384343,0.7923021,0.0023005882,-4.5227776,1073998,-3.8784237,-12.952991896945772,77008,-0.041305706,-4.3672686,3.7778673,0.05336,3.671733,0.001,13.946343237066278,35503.483399391174,0.19341782,1
0.89,4.780738,0.68747324,0.0,77030,30.252305404329682,-40.8,0.004272330745923071,0.80283946,0.0023297903,-4.588816,1074998,-3.9312031,-12.961365701674673,77030,0.024836639,-4.368727,3.763887,0.00156,3.674257,0.001,13.954692976762301,35534.415828228,0.17999934,1
0.9,4.834409,0.68736744,0.0,77060,30.253906278638567,-40.2,0.0036983575980657772,0.8073166,0.0023624287,-4.6347656,1075998,-3.9651425,-12.969608097586296,77060,-0.023139596,-4.3712206,3.7716572,0.00472,3.689324,0.001,13.962912016610433,35565.58912062645,0.22429372,1
0.96,4.5614247,0.68727124,0.0,77098,30.25558891107126,-32.87,0.0012993126236988729,0.8000797,0.0023703866,-4.648425,1076998,-3.991629,-12.97578406703157,77098,-0.020525323,-4.3725214,3.7892902,0.0132,3.6924722,0.001,13.969091286414693,35596.66292285919,0.24172644,1
0.94,4.5590234,0.6871457,0.0,77121,30.257479248113036,-32.82,0.0015280318815117364,0.79596996,0.0023870822,-4.630745,1077998,-3.9957867,-12.984608602066881,77121,0.008537703,-4.3752837,3.823468,0.06024,3.7205758,0.001,13.977878917545157,35627.488699913025,0.24767405,1
0.97,5.1124687,0.6870187,0.0,77150,30.259047072191176,-30.7,0.0010295335808862102,0.79155344,0.0023834063,-4.666233,1078998,-4.025797,-12.992080362929359,77150,-0.011757925,-4.377443,3.7719758,0.01895,3.6784482,0.001,13.985353208036292,35658.69068598747,0.17635174,1
0.95,4.34068,0.68687904,0.0,77169,30.260590912060383,-36.94,0.0011691991694646158,0.8078972,0.0023790416,-4.638961,1079998,-4.0041695,-13.001891951431274,77169,-0.031453986,-4.3786125,3.792666,0.17491,3.7063031,0.001,13.995140535707344,35689.917726278305,0.21828946,1
0.94,4.5635486,0.6867812,0.0,77200,30.262411414179418,-38.78,0.0023793230402725644,0.80229807,0.002405767,-4.696154,1080998,-4.066347,-13.009209844559585,77200,-0.01941769,-4.381016,3.7877107,0.10896,3.7096925,0.001,14.002448186528497,35720.8150138855,0.18664198,1
0.95,5.0222154,0.68662465,0.0,77221,30.263858754273283,-39.04,0.0033085569385300495,0.78943,0.0024085355,-4.6538467,1081998,-4.0122437,-13.018349930718328,77221,-0.048142027,-4.3826694,3.7761133,0.00673,3.68456,0.001,14.011564211807668,35752.149413108826,0.16144167,1
0.94,4.741263,0.68648976,0.0,77252,30.2649775991165,-38.67,0.0039019744508307736,0.77957046,0.0024112947,-4.764963,1082998,-4.098354,-13.02566923833687,77252,-0.025192445,-4.384365,3.810912,0.10524,3.7384238,0.001,14.018873297778699,35783.86920833588,0.17967519,1
0.96,4.0391283,0.6863547,0.0,77286,30.266217876491485,-33.61,0.0037299839142852158,0.7787478,0.0024089096,-4.583612,1083998,-3.952177,-13.031609864658542,77286,-0.041701168,-4.385173,3.7537878,0.01568,3.6820037,0.001,14.024816913800688,35815.442960977554,0.21970184,1
0.97,4.3349085,0.6862409,0.0,77314,30.267741636300485,-31.25,0.002635976981423676,0.7782021,0.0024071438,-4.648666,1084998,-4.0138607,-13.039410714747653,77314,-0.03251372,-4.387701,3.7509837,0.00186,3.6929436,0.001,14.032607289753473,35846.67838907242,0.20378146,1
0.98,4.87029,0.6861195,0.0,77346,30.269302575628153,-30.62,0.0009824675775906822,0.7794036,0.002441041,-4.664715,1085998,-4.045107,-13.047100043958316,77346,-0.07197688,-4.3895135,3.7714057,0.0029,3.70591,0.001,14.040286504796628,35877.86660385132,0.23841238,1
0.97,4.305785,0.6859968,0.0,77371,30.270678665506207,-32.12,0.00101809796760622,0.78053176,0.0023688078,-4.519044,1086998,-3.918943,-13.055628077703533,77371,-0.045674924,-4.3905063,3.7229793,0.01592,3.661607,0.001,14.048803815383025,35909.270882606506,0.20145755,1
0.96,3.920886,0.6858734,0.0,77401,30.272264956718264,-33.89,0.001076150141827537,0.7819908,0.0023627263,-4.5891185,1087998,-3.976638,-13.062634849678945,77401,-0.06015007,-4.3917346,3.742162,0.00213,3.6953301,0.001,14.055800312657459,35940.422745227814,0.20428659,1
0.96,3.74467,0.6857416,0.0,77432,30.274060502320957,-32.23,0.001677226596776247,0.78504014,0.002372323,-4.6127257,1088998,-4.0082016,-13.070681372042566,77432,-0.08126212,-4.392505,3.7812164,0.0137,3.7134943,0.001,14.06382374212212,35971.322707653046,0.19026077,1
0.96,3.5614223,0.6856326,0.0,77466,30.27580129866208,-31.29,0.0016779071566828873,0.78892386,0.0023726868,-4.641852,1089998,-4.0183015,-13.077414607698861,77466,-0.03838497,-4.3932924,3.7587674,0.00355,3.7028134,0.001,14.070559987607467,36002.28410959244,0.1580016,1
0.97,4.322263,0.6855235,0.0,77492,30.2771800549327,-31.01,0.002004483252674377,0.7810344,0.0024259235,-4.6773963,1090998,-4.0401077,-13.084731327104734,77492,-0.033891484,-4.395625,3.7697592,0.01068,3.721374,0.001,14.077866102307334,36033.67281961441,0.21451046,1
0.98,4.592879,0.6854214,0.0,77523,30.278812227936537,-32.06,0.001187288263334725,0.7792771,0.0024544352,-4.643999,1091998,-3.9948525,-13.092733769332972,77523,-0.0326982,-4.397249,3.752026,0.00241,3.7357829,0.001,14.085871289810767,36064.756826639175,0.21080446,1
0.98,4.0854807,0.6853006,0.0,77560,30.280059140139077,-31.05,0.0012184729988842435,0.7904371,0.0024286776,-4.657488,1092998,-4.011573,-13.098117586384735,77560,-0.009714082,-4.3985696,3.7841926,0.00885,3.7428,0.001,14.09124548736462,36096.29673910141,0.2501052,1
0.97,4.394391,0.6851535,0.0,77582,30.281638440357522,-32.19,0.0014854690050089708,0.7960945,0.0024516643,-4.6290407,1093998,-3.9417398,-13.108053414451806,77582,-0.0072942725,-4.400398,3.7472653,0.05818,3.7029743,0.001,14.10115748498363,36127.43749499321,0.2185606,1
0.95,4.9381824,0.68503076,0.0,77616,30.28307644364274,-30.64,0.001516028383510044,0.8008412,0.002466889,-4.565116,1094998,-3.9270859,-13.114486703772418,77616,-0.00889643,-4.402534,3.7351334,0.00892,3.6971326,0.001,14.107568027210885,36158.74371409416,0.22580203,1
0.94,4.458975,0.6848923,0.0,77642,30.28384515234117,-34.72,0.0015575024211609669,0.79769015,0.0024550504,-4.6087885,1095998,-3.9991746,-13.12251101208109,77642,0.02556532,-4.40376,3.779989,0.00175,3.721553,0.001,14.115581772751861,36190.846786022186,0.21467763,1
0.97,4.3112903,0.6847774,0.0,77678,30.285878028441637,-30.24,0.0008231305683484192,0.7928006,0.0025002449,-4.650752,1096998,-4.0264206,-13.129187157238858,77678,0.018706018,-4.405504,3.7953951,0.01819,3.7377536,0.001,14.122261129277273,36221.436240673065,0.22958489,1
0.97,4.6692863,0.6846664,0.0,77711,30.286959538062295,-31.12,0.0008466232177445895,0.7884883,0.0025149332,-4.6464787,1097998,-4.0218153,-13.136145462032403,77711,-0.024266725,-4.407239,3.7947762,0.17512,3.7373285,0.001,14.129209507019599,36253.16032862663,0.18767413,1
0.96,5.077452,0.6845545,0.0,77735,30.28853378760015,-31.43,0.002273759723363558,0.7946436,0.0025610519,-4.7199802,1098998,-4.0443516,-13.14386055187496,77735,-0.04638737,-4.410226,3.8197982,0.10994,3.7694085,0.001,14.13688814562295,36284.2918612957,0.17204243,1
0.94,5.2924633,0.68443125,0.0,77763,30.28940278955304,-34.37,0.0022778357229350102,0.78333044,0.0025853813,-4.6737795,1099998,-4.0062695,-13.152527551663388,77763,-0.004688809,-4.4118495,3.8019423,0.15027,3.7414699,0.001,14.145531936782275,36316.265713214874,0.21019638,1
0.94,4.6905565,0.6843143,0.0,77796,30.290341849768843,-31.93,0.0031149839804078465,0.7937337,0.0025531994,-4.6775217,1100998,-4.011574,-13.15861998046172,77796,-0.03991297,-4.4137325,3.7768786,0.00794,3.7285678,0.001,14.151614478893517,36348.15366101265,0.219023,1
