rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01757,28.083216621408233,1,-16.481491416309012,0.17183755,-0.17462422,3728,0.012631311356187523,0.829545,3.534722,-3.6758227,-8.95,-0.5366036,1.3166475,1.0,0.75947815,64998,0.03679,-1.0885911,0.0,3728,0.0010830744,3.6227336,2314.4784615039825,17.43535407725322
0.01753,28.036097391976092,1,-16.217855283706403,0.16725609,-0.15628734,3842,0.0119724578791947,0.8318249,3.5341537,-3.6611018,-7.69,-0.45815682,1.3094449,1.0,0.75985444,65998,0.03406,-1.0407815,0.0,3842,-0.000119131764,3.6223156,2354.0366220474243,17.173086933888598
0.0175,28.002167693389772,1,-16.052043665905053,0.1889039,-0.13201982,3939,0.012007422236112902,0.8341943,3.535278,-3.6555476,-9.29,-0.44198143,1.2607088,1.0,0.76027113,66998,0.11995,-1.016537,0.0,3939,-0.0016097683,3.6227481,2392.6004848480225,17.00837776085301
0.01746,27.95760910293484,1,-15.952748072618752,0.16441037,-0.18251497,4021,0.012358848177595003,0.8266458,3.5270333,-3.653234,-10.53,-0.38381162,1.2818953,0.99,0.7604277,67998,0.08461,-0.9529797,0.0,4021,-0.0024359105,3.6121528,2432.182228088379,16.90972394926635
0.01743,27.917956843153206,1,-15.804907677356656,0.15887487,-0.10581646,4116,0.011929957776738807,0.8389003,3.5237138,-3.6545684,-9.6,-0.41766667,1.1911075,1.0,0.760806,68998,0.04899,-0.9996438,0.0,4116,-0.0018378325,3.6250925,2471.4559302330017,16.76287657920311
0.01739,27.892191141164158,1,-15.592338614329629,0.16124418,-0.14505626,4229,0.011702302733748749,0.8288605,3.5699034,-3.6501164,-8.0,-0.3929708,1.1938974,1.0,0.7612245,69998,0.03833,-0.9598241,0.0,4229,-0.0018438962,3.65484,2509.5912919044495,16.551430598250178
0.01736,27.842917837034662,1,-15.465062471078205,0.16999924,-0.14795935,4322,0.01333493693322398,0.8303917,3.5313597,-3.6533213,-9.43,-0.39357623,1.1950978,0.99,0.76139134,70998,0.07696,-0.9688377,0.0,4322,-0.0020452703,3.6213214,2549.9482638835907,16.424803331790837
0.01732,27.811890722039458,1,-15.34586636466591,0.17129456,-0.15072243,4415,0.011394884280451292,0.82665354,3.5508978,-3.6574647,-10.01,-0.42048895,1.1497452,1.0,0.7617435,71998,0.03774,-0.9801177,0.0,4415,-0.0027665254,3.6342745,2588.74884557724,16.306455266138165
0.01729,27.78188468110461,1,-15.18716814159292,0.15784657,-0.118199736,4520,0.011870153326653574,0.82529914,3.5688264,-3.652975,-8.49,-0.40975368,1.1753845,1.0,0.7620916,72998,0.16687,-0.9763129,0.0,4520,-0.00312993,3.6560552,2627.5395221710205,16.14867256637168
0.01725,27.751976341419116,1,-15.077606763494472,0.15146816,-0.14382082,4613,0.01145144973780084,0.8234699,3.5711367,-3.658524,-9.66,-0.32827947,1.1272948,0.99,0.7624889,73998,0.01874,-0.89352024,0.0,4613,-0.0029463181,3.6700616,2666.40469455719,16.039670496423152
