reference_Q_mean,train/loss_actor,reference_action_mean,total/steps_per_second,rollout/error,reference_actor_Q_std,total/steps,rollout/actions_std,reference_action_std,total/episodes,reference_Q_std,rollout/return_history,rollout/episodes,rollout/return,rollout/episode_steps,total/duration,train/param_noise_distance,success rate,errors,rollout/actions_mean,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,total/epochs
-0.1415664,0.7423213,-0.064839534,23.621289107736796,0.13052,2.3522427,71998,0.7675563,0.83733445,7615,2.3903854,-5.88,7615,-8.465397242284963,9.45370978332239,3048.013157606125,0.0,1.0,0.01188639200662643,0.0025308412,0.01732,0.64057946,0.07408732,-2.8167505,1
-0.18709502,0.74214494,-0.051387403,23.59966470396579,0.07364,2.2924623,72998,0.7677802,0.84328693,7746,2.3361495,-6.53,7746,-8.43390136844823,9.422411567260522,3093.1795394420624,0.0,1.0,0.011136514535057986,0.0024808515,0.01729,0.5921802,0.07815072,-2.8217084,1
-0.16538,0.7955102,-0.018546585,23.581614244937423,0.06464,2.314155,73998,0.76816523,0.83539987,7877,2.3494642,-6.65,7877,-8.40472261013076,9.393423892344801,3137.9531202316284,0.0,1.0,0.012292352966489674,0.0042111846,0.01725,0.6129989,0.07897811,-2.824044,1
-0.13957275,0.7878824,-0.011012927,23.56704060945646,0.09869,2.3175378,74998,0.76847863,0.8366061,7994,2.3569837,-7.36,7994,-8.391043282461846,9.379909932449337,3182.3257422447205,0.0,1.0,0.012229145113216917,0.0040334878,0.01722,0.6325371,0.07053394,-2.8317122,1
-0.15140197,0.7629223,0.025216788,23.553216658678867,0.08987,2.3523276,75998,0.7686758,0.8379298,8146,2.3871112,-4.75,8146,-8.338939356739504,9.328013749079302,3226.65057182312,0.0,1.0,0.011328569139689439,0.0043941946,0.01718,0.61202496,0.07130872,-2.8268154,1
-0.20879191,0.74386007,-0.013154879,23.544316812288756,0.11941,2.3005795,76998,0.76893646,0.8437648,8286,2.3516085,-6.48,8286,-8.303041274438812,9.292300265508086,3270.343353509903,0.0,1.0,0.01199592114615671,0.0045408728,0.01715,0.5552182,0.08020052,-2.8272495,1
-0.14089337,0.7179089,-0.064003535,23.531377848403327,0.04235,2.3577204,77998,0.7692176,0.8369682,8440,2.385402,-5.24,8440,-8.251658767772511,9.241113744075829,3314.6380336284637,0.0,1.0,0.011379774000828888,0.005254538,0.01712,0.62555724,0.07657224,-2.8223274,1
-0.15777603,0.70128435,-0.08897728,23.50895728713125,0.24808,2.3266292,78998,0.76938367,0.8406127,8578,2.3728032,-5.81,8578,-8.219398461179763,9.209023082303567,3360.3361916542053,0.0,1.0,0.01150214375079454,0.006197132,0.01708,0.609632,0.07327907,-2.822271,1
-0.13968222,0.7139887,-0.044699,23.488848410617365,0.05905,2.3455386,79998,0.76971126,0.83900046,8709,2.383006,-6.77,8709,-8.19428177747158,9.184062464117579,3405.7863800525665,0.0,1.0,0.011558537253110835,0.0063875834,0.01705,0.64281267,0.06999382,-2.826511,1
-0.1132022,0.6776747,-0.030729502,23.47470166052527,0.12742,2.3245146,80998,0.7698392,0.83448714,8850,2.372369,-6.19,8850,-8.162485875706215,9.152429378531073,3450.4378871917725,0.0,1.0,0.011843262724382242,0.0064186524,0.01701,0.6309161,0.06966847,-2.8231761,1
-0.13084647,0.6895829,0.0075292587,23.460534591924795,0.12619,2.3529844,81998,0.77011895,0.84242094,8971,2.3972778,-7.53,8971,-8.150373425482108,9.140452569390257,3495.1462712287903,0.0,1.0,0.011258123267930489,0.0063732374,0.01698,0.6257984,0.07773814,-2.8318815,1
-0.1398553,0.6571939,-0.053690642,23.4478368671069,0.01556,2.3097336,82998,0.77031094,0.8329608,9104,2.3627436,-6.61,9104,-8.12664762741652,9.116871704745167,3539.686857700348,0.0,1.0,0.011587345656272953,0.0066177086,0.01695,0.6083362,0.068685345,-2.832671,1
-0.183913,0.668263,-0.09507409,23.428617513994666,0.06522,2.3452768,83998,0.77059436,0.8331831,9240,2.378196,-6.28,9240,-8.100324675324675,9.090692640692641,3585.273435354233,0.0,1.0,0.012006248028738828,0.0071511855,0.01691,0.59539306,0.06937895,-2.8381174,1
-0.13807555,0.6530098,-0.07151808,23.41511598036866,0.0504,2.3278325,84998,0.7707318,0.83110416,9384,2.3676286,-5.66,9384,-8.067348678601876,9.057864450127877,3630.048216342926,0.0,1.0,0.011255054777699362,0.007791719,0.01688,0.6369174,0.06542992,-2.8353527,1
-0.13263778,0.6083138,-0.06587411,23.39438936910169,0.03042,2.3178089,85998,0.770932,0.8409546,9530,2.3628304,-5.78,9530,-8.032528856243442,9.023189926547744,3676.0096039772034,0.0,1.0,0.010910042043817538,0.008383305,0.01684,0.63445055,0.07152004,-2.8343222,1
-0.21157262,0.6412915,-0.055378873,23.37773422507193,0.05448,2.3244762,86998,0.7712125,0.835187,9678,2.361524,-5.61,9678,-7.998553420128125,8.989357305228353,3721.404271364212,0.0,1.0,0.010921452587069454,0.008606031,0.01681,0.54866135,0.06523101,-2.8348095,1
-0.16361295,0.6625808,-0.07743691,23.364860810196795,0.02563,2.3051062,87998,0.77140856,0.8278982,9809,2.3458247,-6.2,9809,-7.978387195432766,8.969313895402182,3766.253979206085,0.0,1.0,0.011631023094848236,0.008927703,0.01678,0.58332026,0.06294328,-2.8373184,1
-0.16147043,0.66340303,-0.08315127,23.350869090370736,0.0184,2.312313,88998,0.77150846,0.8315915,9937,2.3500905,-6.66,9937,-7.96508000402536,8.956123578544833,3811.335657596588,0.0,1.0,0.01125663645334996,0.008991263,0.01674,0.5932616,0.064311735,-2.8433354,1
