total/steps_per_second,rollout/return_history,total/steps,rollout/episodes,rollout/error,reference_action_std,rollout/actions_std,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/return,total/duration,reference_Q_std,success rate,rollout/actions_mean,reference_actor_Q_std,errors,reference_action_mean,total/epochs,rollout/episode_steps,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/Q_mean
25.871132464283782,-8.17,63998,4595,0.13952,0.9151755,0.7547272,0.0176,-2.0826159,0.1261486,-12.95038084874864,2473.722404241562,4.6684504,1.0,-0.003451012,4.633218,0.012280278801508157,-0.08013304,1,13.926441784548421,-2.4738104,1.2165594,0.0,4595,-3.23471
25.83697983182513,-8.75,64998,4696,0.04464,0.92543805,0.7555242,0.01757,-2.0662994,0.096647836,-12.862436115843272,2515.6965103149414,4.645368,1.0,-0.003423194,4.591564,0.012741273520387002,-0.010899494,1,13.83901192504259,-2.459075,1.1455567,0.0,4696,-3.2343311
25.80720167418715,-8.24,65998,4803,0.24944,0.9195223,0.7561566,0.01753,-2.0664253,0.09808315,-12.763897564022486,2557.3481709957123,4.6920915,1.0,-0.0035930157,4.649209,0.012137493134232584,-0.035906643,1,13.740995211326254,-2.460214,1.1713618,0.0,4803,-3.2309399
25.765828156135278,-7.98,66998,4911,0.15785,0.9266585,0.75684553,0.0175,-2.0306227,0.103974625,-12.664223172469965,2600.265731573105,4.6881404,1.0,-0.0042240107,4.6477284,0.012259954176830656,0.0016007522,1,13.641824475666871,-2.4348204,1.1721132,0.0,4911,-3.2287498
25.740370027431588,-8.66,67998,5013,0.08022,0.92513734,0.7576214,0.01746,-2.0137854,0.105145924,-12.584679832435667,2641.686965942383,4.6745815,1.0,-0.004607927,4.63195,0.012506679889136185,-0.044263583,1,13.562736884101337,-2.4231195,1.1498641,0.0,5013,-3.2299645
25.714968450462205,-7.93,68998,5124,0.09484,0.918379,0.7582688,0.01743,-2.0570664,0.0929277,-12.485362997658079,2683.184314727783,4.6868267,1.0,-0.004277044,4.644132,0.011791927536835105,-0.040194545,1,13.463895394223263,-2.4484372,1.0969809,0.0,5124,-3.231676
25.69149195056355,-9.99,69998,5213,0.02054,0.919876,0.75873697,0.01739,-2.015707,0.103897154,-12.44849414924228,2724.5595598220825,4.7137494,1.0,-0.004257579,4.6628275,0.012054761992076017,0.002440537,1,13.427393055821984,-2.4363334,1.1277306,0.0,5213,-3.239487
25.664019014388515,-8.14,70998,5325,0.06666,0.9193371,0.7593401,0.01736,-2.0353427,0.10744644,-12.353427230046949,2766.4412171840668,4.724,1.0,-0.0037432222,4.6748424,0.011831466755481699,-0.06387598,1,13.332769953051644,-2.4467714,1.0895338,0.0,5325,-3.23735
25.641993079832062,-8.36,71998,5431,0.11462,0.9240484,0.7597643,0.01732,-2.0931377,0.09409851,-12.276008101638741,2807.816060781479,4.7482486,1.0,-0.003556924,4.691438,0.010935255975543887,-0.022722872,1,13.255754004787333,-2.4858747,1.1573291,0.0,5431,-3.2373195
25.62242040778197,-7.87,72998,5540,0.04306,0.92087096,0.76032776,0.01729,-2.0072544,0.10784687,-12.1956678700361,2848.9892382621765,4.7547393,1.0,-0.0028294637,4.7162595,0.011911682842152344,-0.030908667,1,13.175812274368232,-2.3996868,1.129622,0.0,5540,-3.2301602
