rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-7.34,-2.5897164,5412,0.88861847,0.03051,1.0,58998,5412,0.09627499,0.06434912,-0.001495342,0.81854075,-2.597302,10.901330376940132,-9.912047302291205,25.32841312682429,0.012198964922552135,3.5319269,0.76440704,-1.8068817,0.01778,2329.3208186626434,0.0,3.6183379,1
-7.88,-2.6153631,5526,0.8840302,0.09958,1.0,59998,5526,0.09564873,0.09278071,-0.0013998311,0.7864555,-2.602401,10.857220412595005,-9.867716250452407,25.31501619779426,0.012029662191152313,3.563263,0.76489073,-1.8047051,0.01774,2370.0557618141174,0.0,3.6524382,1
-7.28,-2.5835338,5648,0.8797175,0.08744,1.0,60998,5648,0.10057089,0.09842492,-0.001463844,0.72823745,-2.6045225,10.799575070821529,-9.80984419263456,25.289996301370437,0.011894283310351104,3.571694,0.7654999,-1.8034034,0.01771,2411.941831588745,0.0,3.6537702,1
-7.92,-2.5660572,5760,0.889997,0.01314,1.0,61998,5760,0.1057573,0.067464076,-0.0020578315,0.75530124,-2.6093426,10.76388888888889,-9.773958333333333,25.272112309244406,0.012145271066255849,3.5760214,0.7659451,-1.7663915,0.01767,2453.217967748642,0.0,3.6594763,1
-8.04,-2.5553513,5869,0.87832636,0.05554,1.0,62998,5869,0.09745481,0.09447267,-0.0025171102,0.7673867,-2.6194308,10.734196626341795,-9.744079059464985,25.25054239789547,0.012445416331487727,3.5628417,0.7664481,-1.752341,0.01764,2494.9167034626007,0.0,3.6516497,1
-7.34,-2.600562,5988,0.8863964,0.08379,1.0,63998,5988,0.0857666,0.057787653,-0.001813221,0.7818947,-2.6270962,10.685370741482966,-9.695056780227121,25.231243466975346,0.012904733257500956,3.5771012,0.766889,-1.8062248,0.0176,2536.458422422409,0.0,3.671161,1
-6.74,-2.55932,6116,0.8834101,0.05515,1.0,64998,6116,0.09479428,0.07261636,-0.0025337778,0.7321958,-2.6287584,10.62573577501635,-9.635219097449314,25.215221424130032,0.012729188931520544,3.597858,0.7672932,-1.7738562,0.01757,2577.7287023067474,0.0,3.68535,1
-7.15,-2.4815836,6232,0.8871682,0.03144,1.0,65998,6232,0.09852189,0.035414845,-0.0018185811,0.7598588,-2.6331503,10.589377406931964,-9.598684210526315,25.19591788475184,0.011472008780910424,3.593793,0.76772803,-1.670832,0.01753,2619.3925659656525,0.0,3.6794586,1
-8.7,-2.5191793,6334,0.8819838,0.02661,1.0,66998,6334,0.0847949,0.06846268,-0.0020483695,0.72341967,-2.6405683,10.576728765393117,-9.585885696242501,25.18360894143688,0.011595655437610843,3.6155553,0.7681952,-1.7141126,0.0175,2660.381208896637,0.0,3.7031662,1
-7.55,-2.5087194,6447,0.888572,0.05897,1.0,67998,6447,0.08603449,0.05970035,-0.0019431908,0.73610336,-2.645263,10.546300604932528,-9.555297037381727,25.167540173964866,0.012545904986936808,3.5672019,0.76843864,-1.712896,0.01746,2701.813507795334,0.0,3.6572998,1
