rollout/goal_tolerance,reference_actor_Q_mean,rollout/Q_mean,rollout/return,rollout/actions_mean,rollout/error,total/episodes,success rate,total/duration,train/loss_critic,rollout/episodes,reference_action_std,reference_Q_std,reference_actor_Q_std,reference_Q_mean,rollout/return_history,train/param_noise_distance,rollout/episode_steps,train/loss_actor,reference_action_mean,total/steps_per_second,errors,total/epochs,total/steps,rollout/actions_std
0.01712,-1.6155908,-2.782932,-6.530779621767658,0.011420031,0.09398,10364,1.0,3398.752008676529,0.06770668,10364,0.8894258,4.4971414,4.4541783,-2.103011,-7.31,0.0,7.524990351215747,0.6670434,-0.055292513,22.949011814007683,0.01231672872868108,1,77998,0.76666206
0.01708,-1.5866573,-2.787951,-6.515307092603156,0.011498279,0.14069,10518,1.0,3444.415134906769,0.060399953,10518,0.8913345,4.490591,4.4514303,-2.084446,-5.05,0.0,7.509602586042974,0.629523,-0.03443327,22.935098385618453,0.010738442615936882,1,78998,0.76673615
0.01705,-1.5710065,-2.7860384,-6.501546246837222,0.0112183485,0.01906,10671,1.0,3490.5164270401,0.062447406,10671,0.89641273,4.4593563,4.4189963,-2.066498,-5.02,0.0,7.495923531065505,0.69209445,-0.049510825,22.91867168430345,0.011240786985683766,1,79998,0.76681155
0.01701,-1.5835102,-2.784163,-6.490112733321013,0.011282013,0.10658,10822,1.0,3538.3461441993713,0.056759387,10822,0.89483964,4.505431,4.467375,-2.0844827,-5.23,0.0,7.484568471631861,0.6870137,-0.08069534,22.89148565433176,0.011656624990841066,1,80998,0.7669061
0.01698,-1.562037,-2.7848022,-6.483538531691747,0.012078033,0.08799,10965,1.0,3583.6684370040894,0.05727971,10965,0.89964193,4.484277,4.454165,-2.0626652,-6.05,0.0,7.4780665754673965,0.72269005,-0.039644767,22.881023019124363,0.011349840786062342,1,81998,0.76707804
0.01695,-1.5609188,-2.7847466,-6.4748020158387325,0.01156464,0.01145,11112,1.0,3629.40358710289,0.06623745,11112,0.8962842,4.479871,4.4468255,-2.0575929,-5.36,0.0,7.469402447804176,0.6802782,-0.05805557,22.868220083027953,0.011133876975409693,1,82998,0.76711667
0.01691,-1.5504501,-2.7813833,-6.458958203922265,0.011679522,0.19146,11269,1.0,3675.399200439453,0.057356726,11269,0.8963108,4.5003,4.4685946,-2.0601552,-4.99,0.0,7.453633862809477,0.6414726,-0.07680222,22.854116088928976,0.011250255995350258,1,83998,0.7673183
0.01688,-1.4681506,-2.7774944,-6.430418450248974,0.0121531505,0.10763,11447,1.0,3720.7450108528137,0.065742895,11447,0.9045739,4.507382,4.475906,-1.9772305,-4.44,0.0,7.42517690224513,0.6213943,-0.070471875,22.844349653651225,0.010650725383644947,1,84998,0.7674804
0.01684,-1.5244665,-2.7785945,-6.420158648042766,0.012990798,0.16147,11598,1.0,3765.7213468551636,0.057524275,11598,0.895826,4.5168967,4.483005,-2.0345798,-6.12,0.0,7.414985342300397,0.62748337,-0.052677557,22.83705884712336,0.011045055248191531,1,85998,0.7675403
0.01681,-1.5118043,-2.7816603,-6.414154317833418,0.012283384,0.08515,11742,1.0,3810.163923740387,0.05412773,11742,0.9037422,4.521976,4.4755177,-2.00951,-6.97,0.0,7.409044455799694,0.6384835,-0.031588733,22.83313834817774,0.01142954959987366,1,86998,0.7676232
0.01678,-1.5134547,-2.7799058,-6.392578288976576,0.011730578,0.05676,11911,1.0,3856.407749891281,0.054896317,11911,0.8950813,4.5231876,4.4943876,-2.0054617,-4.13,0.0,7.387540928553438,0.630251,-0.021050505,22.818645150394385,0.011016381750273007,1,87998,0.7676872
0.01674,-1.4952452,-2.7734745,-6.36641852770885,0.011712801,0.01645,12090,1.0,3902.4078376293182,0.054613873,12090,0.89372206,4.556236,4.5119963,-1.9952011,-4.33,0.0,7.3614557485525225,0.57623553,-0.041919112,22.805919755959074,0.010845265176882633,1,88998,0.76773477
