reference_actor_Q_std,total/epochs,train/loss_critic,rollout/Q_mean,reference_Q_mean,reference_action_std,reference_Q_std,success rate,rollout/goal_tolerance,total/episodes,reference_actor_Q_mean,total/steps_per_second,errors,total/steps,rollout/return_history,rollout/actions_mean,rollout/return,rollout/episode_steps,train/loss_actor,total/duration,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_action_mean,rollout/error
3.6373851,1,0.20023537,-3.0724752,-1.7699286,0.8879174,3.6210816,1.0,0.01814,2337,-1.0718946,27.381822296862413,0.013202356341279921,48998,-9.95,0.025653945,-20.012836970474968,20.960205391527598,1.1853664,1789.43532204628,0.75032556,2337,0.0,-0.08627667,0.12548
3.6247423,1,0.19084556,-3.0784802,-1.7221339,0.89470553,3.6066961,1.0,0.0181,2420,-1.0463234,27.33901620725757,0.012872693773310217,49998,-10.49,0.024602368,-19.706611570247933,20.655785123966943,1.1766789,1828.8148930072784,0.75115424,2420,0.0,-0.01698991,0.02119
3.6636286,1,0.20361906,-3.0844874,-1.7605186,0.89883053,3.678739,1.0,0.01806,2506,-1.0640186,27.304956348551528,0.012363921374713902,50998,-10.56,0.025180262,-19.393056664006384,20.3439744612929,1.2054491,1867.7195212841034,0.7521639,2506,0.0,-0.057431478,0.02406
3.644615,1,0.18972398,-3.0929332,-1.7276794,0.8950517,3.6251903,1.0,0.01803,2584,-1.0326531,27.276071649162247,0.012208736981809852,51998,-11.35,0.02406258,-19.15595975232198,20.108359133126935,1.1694827,1906.359561920166,0.7527249,2584,0.0,-0.05581826,0.10892
3.689689,1,0.19433929,-3.0962503,-1.716198,0.8968689,3.6851368,0.99,0.01799,2675,-1.0006247,27.234295522942904,0.013119268810788167,52998,-11.89,0.023598615,-18.858691588785046,19.81233644859813,1.1434978,1946.0022366046906,0.7536769,2675,0.0,-0.07241498,0.16582
3.6863995,1,0.18959974,-3.0993085,-1.7583107,0.89653355,3.6884794,1.0,0.01796,2769,-1.0445111,27.197441909439743,0.012509081034019409,53998,-9.92,0.023066627,-18.544600938967136,19.499819429396894,1.1559951,1985.4073107242584,0.7545452,2769,0.0,-0.055191953,0.05147
3.675103,1,0.18891037,-3.1102076,-1.6901135,0.9015985,3.7002301,0.99,0.01792,2845,-0.9969819,27.156151438544075,0.012918784190899995,54998,-11.2,0.021848021,-18.36871704745167,19.324780316344462,1.1349013,2025.2501583099365,0.75545293,2845,0.0,-0.030886149,0.16353
3.718974,1,0.17574333,-3.1198955,-1.6926014,0.8943657,3.7535503,1.0,0.01788,2929,-0.9777453,27.125075689294185,0.012516556280747599,55998,-11.81,0.021640757,-18.161829976101057,19.11915329463981,1.1354718,2064.4366357326508,0.7561366,2929,0.0,-0.10067397,0.01219
3.7326057,1,0.17998669,-3.1299381,-1.7308319,0.8981883,3.7350752,1.0,0.01785,3014,-1.013999,27.07609627404057,0.012443347681937476,56998,-10.81,0.02146007,-17.94890510948905,18.90743198407432,1.1682775,2105.1040527820587,0.7569245,3014,0.0,-0.067385964,0.03232
3.7237554,1,0.17535242,-3.1428916,-1.741192,0.8988718,3.7388406,1.0,0.01781,3093,-1.0391972,27.03889954363905,0.011858361119425051,57998,-11.48,0.021076491,-17.789848043970256,18.749434206272227,1.1003569,2144.9837448596954,0.7576171,3093,0.0,-0.038472887,0.03434
