rollout/actions_std,total/episodes,reference_action_mean,rollout/episode_steps,rollout/return,rollout/return_history,reference_action_std,total/steps,total/epochs,errors,total/duration,success rate,rollout/Q_mean,reference_Q_std,train/loss_critic,reference_actor_Q_mean,rollout/episodes,reference_actor_Q_std,rollout/error,rollout/goal_tolerance,reference_Q_mean,total/steps_per_second,train/param_noise_distance,train/loss_actor,rollout/actions_mean
0.7680971,5473,0.16533576,14.068883610451307,-13.087885985748219,-8.53,0.81108046,76998,1,0.011902387031187033,3125.1603331565857,1.0,-3.233896,2.965084,0.1385471,-0.09750314,5473,2.871047,0.16465,0.01715,-0.8303788,24.638095902819725,0.0,0.68722296,0.000138931
0.76840556,5573,0.15034474,13.995872958909025,-13.014534362102996,-9.0,0.81303376,77998,1,0.011874319337873317,3167.787700176239,1.0,-3.234443,2.9581556,0.12580353,-0.07585451,5573,2.849571,0.083,0.01712,-0.78546304,24.622230838152632,0.0,0.6438779,-0.0008184938
0.7686596,5655,0.134872,13.96870026525199,-12.98709106984969,-10.76,0.80874616,78998,1,0.011832101754432717,3213.1222903728485,1.0,-3.248191,2.972877,0.13003346,-0.017458193,5655,2.8737395,0.1494,0.01708,-0.7325473,24.586054578966284,0.0,0.66386384,-0.00026350623
0.7689476,5754,0.14717858,13.903371567605145,-12.921445950643031,-9.08,0.8231656,79998,1,0.011539954667488632,3256.0958166122437,1.0,-3.2571952,2.9670813,0.13370897,-0.032074526,5754,2.8836734,0.01271,0.01705,-0.7242757,24.568687319291705,0.0,0.6659198,-4.9599712e-05
0.7692109,5851,0.1301396,13.84276192103914,-12.860536660399932,-9.19,0.81494695,80998,1,0.011730485655578111,3298.2050585746765,1.0,-3.2661312,2.983416,0.12679017,-0.066243336,5851,2.8990567,0.06389,0.01701,-0.79402626,24.558206224752862,0.0,0.6373516,8.6396394e-05
0.76925987,5938,0.1401068,13.809195015156618,-12.826877736611653,-10.62,0.8221273,81998,1,0.011783350907487588,3340.610530614853,0.99,-3.2746253,2.9659343,0.12730181,-0.05868652,5938,2.865942,0.1191,0.01698,-0.7948779,24.545812583817707,0.0,0.6186896,-0.00038962974
0.76950043,6033,0.15790261,13.756340129288912,-12.773744405768275,-9.42,0.8184654,82998,1,0.011632543365562308,3384.0220715999603,1.0,-3.2797143,2.9811137,0.1107702,-0.0046337917,6033,2.8787796,0.05187,0.01695,-0.7291093,24.52643577491759,0.0,0.6279323,-0.001151629
0.7696137,6132,0.105930746,13.697977821265493,-12.715101108936725,-9.05,0.82433754,83998,1,0.011279766092509889,3426.272395133972,1.0,-3.2881675,3.0333853,0.12693483,-0.0959458,6132,2.9272764,0.08066,0.01691,-0.8278359,24.515855808573434,0.0,0.6012964,-0.0009368192
0.7698221,6228,0.12394962,13.646756583172769,-12.663615928066795,-9.19,0.81974596,84998,1,0.01170016285857844,3468.803456544876,1.0,-3.2920804,3.0010781,0.124616474,-0.08393285,6228,2.9063723,0.08602,0.01688,-0.7984165,24.503550306266934,0.0,0.6444272,-0.00021739128
0.7699833,6332,0.10037436,13.580701200252685,-12.597283638660771,-8.68,0.8290035,85998,1,0.012514965636077997,3511.5695402622223,1.0,-3.299269,2.9742117,0.13018663,-0.079853356,6332,2.8800673,0.11466,0.01684,-0.8029408,24.48990373506264,0.0,0.54710335,0.0012474569
0.7700508,6418,0.1467483,13.554066687441571,-12.570582736054845,-10.36,0.82346576,86998,1,0.01145558318641092,3554.6202280521393,0.99,-3.308462,3.0096605,0.11770939,-0.09775329,6418,2.899335,0.11529,0.01681,-0.8240505,24.474625816123588,0.0,0.60173666,0.0013992977
