rollout/return_history,reference_Q_mean,total/steps_per_second,reference_actor_Q_std,reference_actor_Q_mean,success rate,rollout/error,total/epochs,total/steps,rollout/actions_std,train/loss_critic,rollout/return,rollout/goal_tolerance,reference_action_mean,total/duration,reference_action_std,rollout/actions_mean,rollout/episode_steps,total/episodes,reference_Q_std,train/loss_actor,rollout/episodes,rollout/Q_mean,train/param_noise_distance,errors
-1.79,0.124005504,18.310490074090026,1.3230497,0.39233735,1.0,0.02457,1,64998,0.77897865,0.019266492,-2.3982855948149697,0.01757,-0.15032195,3549.768451690674,0.8492122,0.006962284,3.3972924942504705,19132,1.5980186,-0.27840197,19132,-1.0809399,0.0,0.011850817923161179
-2.05,0.12381145,18.296830061974408,1.3454281,0.39454412,1.0,0.03757,1,65998,0.7790981,0.019287903,-2.392117568470274,0.01753,-0.22667773,3607.072906970978,0.8232248,0.0064086216,3.3911412568727197,19461,1.623145,-0.28559422,19461,-1.081249,0.0,0.011642801007304651
-2.2,0.1476857,18.290800831720247,1.3248996,0.4182443,1.0,0.02125,1,66998,0.779321,0.019425748,-2.390640020237794,0.0175,-0.1688255,3662.9342048168182,0.8514913,0.0062632593,3.389678725018973,19765,1.5998186,-0.28496888,19765,-1.0834336,0.0,0.012448749165780783
-1.78,0.15726984,18.288829363838598,1.342765,0.42700392,1.0,0.0388,1,67998,0.77952904,0.019687414,-2.3839800995024873,0.01746,-0.13107,3718.0072407722473,0.8626052,0.0060487133,3.383034825870647,20100,1.6142226,-0.29463348,20100,-1.0826603,0.0,0.012051112072177123
-2.19,0.17499575,18.27907319938905,1.3419913,0.4453491,1.0,0.04231,1,68998,0.7795689,0.018844727,-2.3825605332810507,0.01743,-0.19866641,3774.699036836624,0.8427801,0.0066414517,3.3816292520341142,20402,1.6161201,-0.31972933,20402,-1.0861542,0.0,0.012104400089463514
-2.29,0.16663682,18.27548632413722,1.3637497,0.43783116,1.0,0.01361,1,69998,0.7797173,0.018834542,-2.3830506836739622,0.01739,-0.16791658,3830.157991886139,0.85155815,0.0064055054,3.3821326762332706,20697,1.6437569,-0.30724004,20697,-1.0894226,0.0,0.011748669860724951
-2.54,0.16894992,18.270424674981033,1.3585422,0.44090927,1.0,0.0127,1,70998,0.77984965,0.020265155,-2.3808911739503,0.01736,-0.17110409,3885.9523663520813,0.8474724,0.0063794316,3.3799866704751023,21006,1.6306825,-0.33012912,21006,-1.0910476,0.0,0.011754715701538479
-2.23,0.18992648,18.26064914388095,1.357335,0.46047658,1.0,0.01109,1,71998,0.7799475,0.018200701,-2.3806975543350704,0.01732,-0.20071442,3942.795211315155,0.8426592,0.006413916,3.3798056611744824,21303,1.6333972,-0.31789893,21303,-1.0927625,0.0,0.012332447556656809
-2.34,0.18405317,18.253460373269444,1.3682247,0.45567152,1.0,0.04632,1,72998,0.78004223,0.019535398,-2.3767110617832037,0.01729,-0.21723194,3999.1321375370026,0.8393607,0.006173349,3.375832408435072,21624,1.6473744,-0.3423147,21624,-1.0947312,0.0,0.011603478208327585
-1.58,0.20612168,18.254527536954935,1.3571175,0.4735783,1.0,0.02773,1,73998,0.7801232,0.017712563,-2.372334609075998,0.01725,-0.24028492,4053.6792776584625,0.8306737,0.00591672,3.371468926553672,21948,1.6385591,-0.33802968,21948,-1.0958062,0.0,0.011854734134531595
-2.06,0.21450481,18.25289690208008,1.372904,0.48132,1.0,0.02082,1,74998,0.78022605,0.018643854,-2.3718421289220535,0.01722,-0.22238402,4108.827239990234,0.834427,0.005567668,3.37098804279421,22246,1.6562406,-0.3575119,22246,-1.0967784,0.0,0.011919613451815357
-1.89,0.21358998,18.241047919826176,1.3853178,0.47791356,1.0,0.05777,1,75998,0.78033864,0.01865508,-2.3659227771873894,0.01718,-0.17909507,4166.317655324936,0.8528202,0.005005975,3.365081473609635,22584,1.6629372,-0.32792252,22584,-1.0978082,0.0,0.011724873870583116
-2.1,0.21462962,18.23162711526169,1.3726425,0.48521212,1.0,0.01416,1,76998,0.7803798,0.018115599,-2.3635688706437246,0.01715,-0.19232649,4223.320250749588,0.8453603,0.004649074,3.362739103851865,22898,1.6562446,-0.33933568,22898,-1.098682,0.0,0.012207987820815171
-2.18,0.23778893,18.22177708892588,1.3792403,0.5014519,1.0,0.01179,1,77998,0.780444,0.01847559,-2.3615838683269423,0.01712,-0.22863181,4280.482612609863,0.8414823,0.004485025,3.3607652203886422,23209,1.6601571,-0.36394864,23209,-1.0988706,0.0,0.011874379793316871
-2.57,0.23455065,18.22102112213629,1.3814338,0.50433224,1.0,0.01007,1,78998,0.7805823,0.018437719,-2.3580808295440057,0.01708,-0.17794263,4335.541870594025,0.85649085,0.0038701084,3.357273384046577,23531,1.6670765,-0.36392447,23531,-1.0997856,0.0,0.011810663338939627
-2.07,0.2295102,18.214831685212072,1.4002801,0.49708253,1.0,0.03226,1,79998,0.7805989,0.018411072,-2.3589539081521282,0.01705,-0.2039115,4391.915411710739,0.84876543,0.003914608,3.3581563260851315,23822,1.6812247,-0.35303202,23822,-1.1021705,0.0,0.011845434966293493
-1.9,0.2467044,18.21793772962202,1.3871665,0.51604784,1.0,0.03263,1,80998,0.7806451,0.017555565,-2.3581347150259067,0.01701,-0.122689284,4446.057572603226,0.87403333,0.0036374044,3.3573471502590673,24125,1.6772805,-0.36689556,24125,-1.1033205,0.0,0.011478988042981853
