total/steps_per_second,reference_Q_std,total/steps,reference_action_std,rollout/Q_mean,train/loss_actor,reference_action_mean,rollout/error,rollout/episode_steps,reference_actor_Q_std,rollout/return_history,rollout/return,total/duration,train/loss_critic,rollout/actions_mean,success rate,total/epochs,errors,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,total/episodes,reference_Q_mean,rollout/goal_tolerance,rollout/episodes
19.84559994574249,1.8858377,1238998,0.79965717,-1.5712012,0.76686907,0.12881437,0.01725,4.4666476799561625,1.5209635,-4.48,-3.4668026980355964,62431.87423849106,0.025774837,0.002472627,1.0,1,0.0008784566488127172,-0.6459749,0.7453438,0.0,277387,-1.1039042,0.00168,277387
19.846319858414596,1.9060515,1239998,0.7985454,-1.5712831,0.784054,0.11304298,0.03525,4.4672627839783265,1.5491954,-4.04,-3.467417697622976,62479.996737241745,0.028361227,0.0024592518,1.0,1,0.0009058373499121808,-0.69078577,0.7453174,0.0,277574,-1.1607466,0.00168,277574
19.846813090926997,1.9229407,1240998,0.80015665,-1.5714837,0.7781027,0.12008917,0.00542,4.468068176908565,1.5805463,-4.98,-3.4682229935049036,62528.82990908623,0.025582979,0.0024325592,1.0,1,0.0008415082070382731,-0.7190002,0.74528474,0.0,277748,-1.1714666,0.00168,277748
19.847316214730586,1.9594821,1241998,0.80234206,-1.5716468,0.782319,0.11460333,0.02832,4.468860079950202,1.538388,-4.65,-3.46901479906305,62577.6294670105,0.025415411,0.002450708,1.0,1,0.0007796948967445392,-0.7134123,0.74526346,0.0,277923,-1.1862161,0.00167,277923
19.848078276000443,1.8604808,1242998,0.8042194,-1.5717798,0.7735112,0.115356304,0.0862,4.469499149607885,1.5523878,-4.59,-3.4696537663561147,62625.60952830315,0.023410423,0.0024566015,1.0,1,0.0008873547701481702,-0.69566935,0.74523056,0.0,278107,-1.1318276,0.00167,278107
19.848557766034823,1.9000832,1243998,0.8019934,-1.5719182,0.776418,0.11813512,0.04524,4.47009806211439,1.604643,-4.14,-3.47025257552292,62674.478149175644,0.02423214,0.00246536,1.0,1,0.0008860623732676254,-0.7174132,0.74520516,0.0,278293,-1.1465945,0.00167,278293
19.849200943451375,2.031741,1244998,0.8041485,-1.5720598,0.79707956,0.10519569,0.00155,4.470778346350659,1.7495222,-4.33,-3.4709327587754735,62722.82715797424,0.023091577,0.0024681026,1.0,1,0.000830233770078464,-0.7945099,0.7451817,0.0,278475,-1.2524714,0.00166,278475
19.849404382067647,1.8814266,1245998,0.793482,-1.5722411,0.7806095,0.11956635,0.00955,4.471512650278127,1.4652709,-4.49,-3.471666965727615,62772.56365060806,0.02589814,0.0024666104,1.0,1,0.0008346369637439899,-0.6671223,0.7451558,0.0,278650,-1.119587,0.00166,278650
19.84993674981774,1.8926857,1246998,0.79583895,-1.5724597,0.7596705,0.12011117,0.00114,4.4722109649862105,1.5791429,-4.43,-3.472365179157417,62821.258108615875,0.02712082,0.0024306935,1.0,1,0.0008137373087342708,-0.7022682,0.74513024,0.0,278833,-1.1570814,0.00166,278833
19.850358573578703,1.9426979,1247998,0.7942211,-1.5725186,0.79979545,0.12451416,0.0006,4.472797648914057,1.6362913,-4.62,-3.4729517597304853,62870.300069093704,0.024699485,0.0024330507,1.0,1,0.0008657478763259968,-0.7298695,0.74510103,0.0,279020,-1.1641202,0.00165,279020
